Timestamp,Which days do you plan to attend?,What is your position at UO?,Do you have any experience in R? (No experience is required!),Any other comments/concerns?
9/10/2020 12:36:54,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,I'm excited for this. Thanks!
9/10/2020 12:39:46,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,
9/10/2020 12:41:11,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/10/2020 12:41:25,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/10/2020 12:43:39,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/10/2020 12:46:34,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Postdoctoral Researcher,I've opened it before,
9/10/2020 12:47:01,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've heard of it but have never used it,
9/10/2020 12:48:13,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Faculty Member,I use it often to analyze data,"I will need to miss the first hour of Monday; hope that it would be ok for me to exit/turn off video when need be? Not sure how it's organized -- if active groupwork I might not be best suited to this, this year. I am hoping to refresh my skills with tidyverse, ggplot2, markdown ---> i'm a user/collaborator with these but would like to consolidate my own understanding and agency. thank you for your efforts!"
9/10/2020 12:50:40,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've used it to analyze data,
9/10/2020 12:55:08,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've never heard of it,
9/10/2020 13:18:03,"Friday, September 25th",Graduate Student,I use it often to analyze data,
9/10/2020 13:31:23,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Faculty Member,I've opened it before,"If there is a limit on attendance, I understand to be a low priority."
9/10/2020 13:31:40,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,"I have experience with Matlab and a little with Python, but I'm really inexperienced with R, and I'll be analyzing my dissertation in R next term; so I'm really hoping there is room for me in the session.  thanks so much for holding it!"
9/10/2020 13:46:57,"Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,
9/10/2020 14:05:45,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/10/2020 14:59:22,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Postdoctoral Researcher,I've opened it before,
9/10/2020 15:30:45,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've opened it before,
9/10/2020 15:35:58,"Monday, September 21st",RA,I've opened it before,
9/10/2020 15:45:03,"Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,
9/10/2020 16:36:01,"Wednesday, September 23rd, Friday, September 25th",Lab Manager,I've used it to analyze data,
9/10/2020 16:56:29,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,"I may have to leave around 11am on Wednesday (the 23rd), due to personal circumstances. If there's a way I can make that less disruptive, let me know!"
9/10/2020 17:03:06,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've heard of it but have never used it,
9/11/2020 3:54:04,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,
9/11/2020 11:51:20,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I use it often to analyze data,
9/11/2020 12:16:03,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've heard of it but have never used it,
9/11/2020 14:17:44,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've never heard of it,"I will be enrolling in PSY 611, but I have not been able to enroll in courses yet. "
9/11/2020 14:19:18,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Lab Manager,I've opened it before,
9/11/2020 17:30:23,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've opened it before,
9/11/2020 19:55:34,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've heard of it but have never used it,"Please save a spot for me, thank you so much! "
9/11/2020 21:31:01,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've heard of it but have never used it,
9/12/2020 14:19:41,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/12/2020 15:17:10,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/12/2020 17:11:18,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've opened it before,
9/13/2020 12:19:50,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've opened it before,
9/14/2020 10:47:27,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've never heard of it,Will have to leave 45 minutes early on Monday
9/14/2020 18:40:07,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've opened it before,
9/15/2020 8:44:46,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Lab Manager,I've used it to analyze data,"I know I checked all of the days, but unfortunately I work during those times-checked them because I'm interested in a more structured lesson of basics on R. I filled this out to ask if there will be recordings of the bootcamp available afterwards! If not, I will do my best to make what I can of each day. Thanks!"
9/15/2020 9:04:44,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Undergraduate ,I've never heard of it,
9/15/2020 9:44:55,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've never heard of it,
9/15/2020 9:57:09,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've opened it before,
9/15/2020 10:47:43,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,Super excited that we have the opportunity to attend this as a refresher -- thank you for putting this together! It is *much* appreciated by those of us who struggle with programming!
9/15/2020 11:22:40,"Monday, September 21st, Friday, September 25th",Undergraduate student,I've opened it before,"I am only a senior undergrad, but I really want to learn R because it will strengthen my applications to statistics and data science Master's programs this winter. Also, I am taking an econometrics sequence this year that will use a lot of R and most of the homework assignments will use R."
9/15/2020 12:17:23,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Data Analyst,I've opened it before,
9/15/2020 14:51:33,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,"I have done a fair bit of coursework in R but have not opened it for about a year, so I am looking forward to this boot camp!"
9/15/2020 15:22:15,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",RA,I've opened it before,
9/15/2020 15:44:41,"Wednesday, September 23rd",RA,I've never heard of it,Would I need to have attended Monday's session in order to understand the session on Wednesday? 
9/15/2020 17:41:04,"Monday, September 21st, Friday, September 25th",RA,I've heard of it but have never used it,
9/16/2020 7:49:04,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,
9/16/2020 19:17:00,"Monday, September 21st, Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've heard of it but have never used it,
9/18/2020 12:31:03,"Wednesday, September 23rd, Friday, September 25th",RA,I've used it to analyze data,"I've taken classes in R at UO, but struggled to gain fluency. This seems like a great opportunity to refresh my memory and solidify things that I have learned. "
9/20/2020 18:15:45,"Wednesday, September 23rd, Friday, September 25th",Graduate Student,I've used it to analyze data,